observationID;deploymentID;sequenceID;mediaID;timestamp;observationType;cameraSetup;taxonID;scientificName;count;countNew;lifeStage;sex;behaviour;individualID;classificationMethod;classifiedBy;classificationTimestamp;classificationConfidence;comments;_id
54;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;e5f3175d2350df6e40827395c0bd71bf;1501519;2021-05-28T09:55:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:01:06+0000;;;1027064
55;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;97c47938d5f19c3309cf0459284b1986;1501520;2021-05-28T09:55:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:01:07+0000;;;1027065
56;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;60ff5a930ee3e7d8403dc62575d0e7cc;1501521;2021-05-28T09:55:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:01:07+0000;;;1027066
57;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;91c90756794e3765349dc2304c3aa806;1501522;2021-05-28T09:55:24+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:01:07+0000;;;1027067
70;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;99d992a7c46ba6f562ab3e506928c73f;1501535;2021-06-01T13:19:23+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:02:23+0000;;;1027080
71;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;007d33b21cc471c78f467c64619a2bd6;1501536;2021-06-01T13:19:23+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:02:23+0000;;;1027081
72;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;ef4482f09b1e31127b581baf0b2adb6d;1501537;2021-06-01T13:19:23+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:02:23+0000;;;1027082
88;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;005c75e867fca4e46c7d71e96144c2e2;1501553;2021-06-04T09:00:21+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:06:47+0000;;;1027098
89;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;fffebdbe50fc0c49d67b4777bfac13b9;1501554;2021-06-04T09:00:21+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:06:47+0000;;;1027099
90;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;6439882c73c7167bec26a93ad6e210df;1501555;2021-06-04T09:00:21+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:06:47+0000;;;1027100
91;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;2153a9c86d33440f5dcaf29f43d00c9b;1501556;2021-06-04T09:00:21+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:06:47+0000;;;1027101
92;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;ec1110dc3422681a9c9a9ba1d4f6643b;1501557;2021-06-04T09:00:21+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:06:47+0000;;;1027102
118;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;6f7238766aa18763bdaa66a7d1b162d9;1501583;2021-06-15T10:08:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:09:40+0000;;;1027128
119;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;490cc1cd0c67c6e752edadd3a4da6917;1501584;2021-06-15T10:08:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:09:40+0000;;;1027129
120;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;199312b3efae70ac92be5b616bf3e828;1501585;2021-06-15T10:08:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:09:40+0000;;;1027130
121;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;f042e620d4223286fb2819a77e8e0c62;1501586;2021-06-15T10:08:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:09:40+0000;;;1027131
122;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;aa1024c071fce41ec7dc022a9bdff4a9;1501587;2021-06-15T10:08:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:09:40+0000;;;1027132
134;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;04e8879c04ed56cfe08a83525ce6e6a9;1501599;2021-06-15T11:30:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027144
135;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;6ef312076d6eb7e6d8bf77ae34b88474;1501600;2021-06-15T11:30:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027145
136;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;4d914158ab0e83b75c3ab67867fe1f66;1501601;2021-06-15T11:30:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027146
137;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;a0a0acd327bb3ea595e28ee6fd0ef8de;1501602;2021-06-15T11:30:27+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027147
138;VIELAAS_Spring_Session03-VIELAAS_Beaver_03;1d0b37753306f9fc5c9c94d8e55526e1;1501603;2021-06-21T11:59:10+0100;blank;False;;;1;;unknown;unknown;undefined;;human;aljoscha.geissler;2022-01-20T14:12:12+0000;;;1027148
